id,split,ticket_text,drafted_intent,drafted_urgency,drafted_escalate,drafted_escalation_reasons,why_selected,in_random_block,drafter_note,CORRECTED_intent,CORRECTED_urgency,CORRECTED_escalate,CORRECTED_escalation_reasons,reviewer_note
hl-0135,dev,I have to see what hours I can call customer service,human_agent_request,low,false,,random control,true,"The customer is asking for a contact route to reach customer service, with no time-sensitive issue stated.",,,,,Confirmed.
hl-0137,dev,i try to see how soon can i expect my shipment,delivery_and_shipping,low,false,,random control,true,This is a general delivery-timescale question with no indication that an order is overdue or otherwise blocked.,,,,,Confirmed; same reasoning as hl-0064. My blind label was the wrong one.
hl-0152,dev,how to check what payment payment modalities are allowed,billing_and_payment,low,false,,random control,true,This is an informational question about accepted payment methods.,,,,,Confirmed.
hl-0153,test,The bunk bed ladder came away from the frame while my son was climbing down. Two of the fixing points had sheared clean off. He's fine but he could easily have broken something. This is order 48770 and I'm quite shaken by it.,product_issue,high,true,product_safety,random control,true,"The failed bunk-bed ladder created a clear risk of physical injury, triggering product-safety escalation and high urgency.",,,,,"Confirmed. A ladder that sheared under a child is product_safety, and brief v2 §5 makes that high. 'Quite shaken' is distress, not severe_customer_anger."
hl-0157,test,help me to purchase some of your article,order_management,low,false,,random control,true,"The customer is seeking help to place a purchase, which is an order-management request.",,,,,"Confirmed. Placing an order, nobody blocked."
hl-0169,dev,I am trying to locate my invoice #85632,billing_and_payment,low,false,,random control,true,"The customer is requesting help locating an invoice, an administrative billing request.",,,,,Confirmed.
hl-0180,dev,I am looking for information about an address update,delivery_and_shipping,low,false,,random control,true,"An address update is classified under delivery and shipping, and this informational request has no stated time pressure.",,,,,"Confirmed. Informational, no live order behind it."
hl-0185,test,I don't know how I can speak with customer support,human_agent_request,low,false,,random control,true,"The customer is asking for a route to speak with support, with no time-sensitive issue stated.",,,,,Confirmed.
hl-0196,dev,I need help lodging a complaint against your company,feedback_and_complaint,low,false,,random control,true,The customer is seeking to make a general complaint with no concrete operational issue stated.,,,,,"Confirmed. A complaint with no operational ask underneath. Complaining about H&L is squarely the support team's remit, and no legal or regulatory route is named, so neither out_of_scope nor legal_or_chargeback_threat applies."
hl-0205,test,help to ssee in what situations can i ask for reimbursements,returns_and_refunds,low,false,,random control,true,"This is a general question about when reimbursements/refunds can be requested, with no stated amount or time pressure.",,,,,Confirmed.
hl-0225,test,i want help to notify of registration problems,account_access,normal,false,,random control,true,"This appears to report a registration problem, which is account access, but the vague wording could also be read as a request for a contact route.",,low,,,"CORRECTED normal -> low. Nine of the twelve registration tickets are low, including hl-0100 and hl-0143 which round 1 reviewed and confirmed, and hl-0175 is almost word for word the same. A sign-up problem blocks nothing the customer is owed or has paid for, which is what the brief's normal requires."
hl-0244,dev,Someone has been in my account. There's an order I didn't place going to an address in Manchester and my delivery address has been changed. I've not shared my password with anyone. Please stop that order and lock the account.,account_access,high,true,account_security,random control,true,"This is suspected unauthorised account access with an unrecognised order and address change, requiring urgent security handling.",,,,,Confirmed. Unauthorised access with an order the customer did not place; high on both active misuse and the order to stop before dispatch. Account compromise is the first-mentioned and the root of the other asks (brief v2 §3).
hl-0246,test,i need assistance to submit feedback about a service,feedback_and_complaint,low,false,,random control,true,"The customer is seeking help to submit service feedback, with no concrete operational issue or urgency stated.",,,,,Confirmed.
hl-0252,dev,correct info on gold account,account_management,low,false,,random control,true,"This most likely requests correction of account information, though “gold account” could refer to an unrelated account or company.",,,,,"Confirmed. 'Gold account' is an unfamiliar tier name, not grounds for out_of_scope (brief v2 §3)."
