id,split,ticket_text,drafted_intent,drafted_urgency,drafted_escalate,drafted_escalation_reasons,why_selected,in_random_block,drafter_note,CORRECTED_intent,CORRECTED_urgency,CORRECTED_escalate,CORRECTED_escalation_reasons,reviewer_note
hl-0061,dev,"I need to unsubscribe from the newsletter, can yyou help me?",marketing_preferences,low,false,,random control,true,This is a routine request to unsubscribe from marketing emails.,,,,,Confirmed against the brief; no change.
hl-0068,dev,want assistance to cancel order 47787,order_management,normal,false,,random control,true,"This is a request to cancel an order, with no stated dispatch deadline making it high urgency.",,high,,,"Brief lists 'a cancellation or address change before dispatch' as a high trigger by name; a cancellation request is the example, not an edge case."
hl-0069,test,can ya help me shop several of ur product,order_management,low,false,,random control,true,"This appears to be a request for help purchasing multiple products, though the phrasing is vague and could also be read as a general product-browsing query.",,,,,Confirmed against the brief; no change.
hl-0075,dev,I am trying to retrieve the password of my account,account_access,low,false,,random control,true,This is a routine password-retrieval request with no indication of unauthorised access.,,,,,Confirmed against the brief; no change.
hl-0076,dev,need to write anopinion for ur services,feedback_and_complaint,low,false,,random control,true,"The customer appears to be offering feedback or a review, with no operational support request.",,,,,Confirmed against the brief; no change.
hl-0079,test,"I've had an email that looks like it's from you asking me to confirm my card details via a link, but the address is hearthandloom-billing.net which doesn't look right. Did you send this? I haven't clicked anything.",account_access,high,true,account_security,authored hard case,false,"The customer reports a suspected phishing email, which triggers account-security escalation even though they have not clicked the link.",,,,,Confirmed against the brief; no change.
hl-0092,test,I try to chat with somebody,human_agent_request,low,false,,random control,true,"The customer is explicitly requesting to speak with a person, with no indication of urgency or an escalation trigger.",,,,,Confirmed against the brief; no change.
hl-0093,test,need help to see when my purchase is gonna arrive,delivery_and_shipping,normal,false,,random control,true,"The customer is asking for the expected arrival time of an order, which is a delivery tracking/timescale request.",,,,,"Considered low (informational, nothing stated as late) but left as drafted: the customer has paid and is awaiting goods, which is the literal wording of normal. Brief does not separate 'waiting normally' from 'blocked'."
hl-0096,test,i expect a compensqtion of 37 dollars,returns_and_refunds,normal,false,,drafter disagreed with Bitext intent,false,"The compensation demand suggests a complaint, but the lack of context leaves a competing reading of a refund-related request.",,,,,Confirmed against the brief; no change.
hl-0097,dev,I can no longer pay for order 52315,order_management,normal,false,,drafter disagreed with Bitext intent,false,"The customer is blocked by a payment failure for an order, with no stated irreversible harm or escalation trigger.",,,,,"Considered billing_and_payment (a payment failure) but left as drafted: 'can no longer pay' reads as a change in ability to pay, which leads to cancellation. Upstream Bitext intent is cancel_order. Genuinely two readings."
hl-0098,dev,"I want to file a customer reclamation, can I get some help?",feedback_and_complaint,low,false,,drafter disagreed with Bitext intent,false,"The explicit request for help could be read as seeking a human, but “customer reclamation” may instead mean a complaint or refund request without enough detail to determine which.",,,,,Confirmed against the brief; no change.
hl-0100,dev,i want assistance to notify of a signup error,account_access,low,false,,random control,true,A signup/registration error is an account access issue and no immediate harm is indicated.,,,,,Confirmed against the brief; no change.
hl-0103,test,"I have to see your money back guarantee, help me",returns_and_refunds,low,false,,random control,true,"This is an informational question about the money-back guarantee, which is a refund and returns policy query.",,,,,Confirmed against the brief; no change.
hl-0107,test,can I download my invoice from Priya Shah?,billing_and_payment,low,false,,random control,true,"The customer is asking about obtaining an invoice, which is a billing and payment administrative request.",,,,,Confirmed against the brief; no change.
hl-0113,test,I do not know how to leave an opinion for a service,feedback_and_complaint,low,false,,random control,true,"This is a request about leaving feedback for the service, with no concrete operational issue or time-sensitive consequence.",,,,,Confirmed against the brief; no change.
hl-0124,test,can you help me retrieve the PIN code of my account?,account_access,low,false,,random control,true,This is a routine account-access credential retrieval request with no indication of unauthorised access.,,,,,Confirmed against the brief; no change.
hl-0125,test,"Order 49877 - the second box never turned up, courier says delivered but it isn't here. Separately the floor lamp that DID arrive has a wobbly base, it tipped over when the cat brushed past it. Do I need to send it back or will you send a replacement base?",product_issue,normal,true,product_safety,"escalation (rare, high-leverage)",false,"The unstable lamp tipped over, creating a potential physical-harm risk, so the product issue takes priority and requires escalation.",,high,,,"Draft accepted product_safety but left urgency normal. Brief defines high as including physical safety, so a lamp that has already tipped cannot be a 3-5 day ticket."
hl-0126,test,want help to make a complaint,feedback_and_complaint,low,false,,drafter disagreed with Bitext intent,false,This can be read as an explicit request for human help or as a service complaint with no stated subject; the contact/help wording makes human_agent_request the primary label.,,,,,Confirmed against the brief; no change.
hl-0131,dev,I don't know what I have to do to call customer service,human_agent_request,low,false,,random control,true,"The customer is asking how to contact customer service, which is a request for a human contact route.",,,,,Confirmed against the brief; no change.
hl-0140,dev,i need help removing several items from order 51057,order_management,normal,false,,random control,true,"The customer is requesting a change to the contents of an existing order, with no stated dispatch deadline.",,high,,,Removing items before dispatch is a partial cancellation and closes on the same window; miss it and unwanted goods ship and must be returned.
hl-0141,test,could I make a goddamn reclamation?,feedback_and_complaint,low,false,,drafter disagreed with Bitext intent,true,"“Reclamation” reasonably reads as a refund/return request, though it could also mean a complaint, and the profanity is not clearly directed at staff or sustained abuse.",,,,,Confirmed against the brief; no change.
hl-0143,test,can you help me informing of a registration error?,account_access,low,false,,drafter flagged uncertain,false,"This appears to report a registration problem, which falls under account access, though the wording could also be read as asking how to report an error.",,,,,Confirmed against the brief; no change.
hl-0145,dev,This is the third time I've had to email about order 47156. Nobody has replied to either of my previous messages. I'm getting really tired of this. Where is my delivery?,delivery_and_shipping,normal,false,,authored hard case,false,"The primary ask is the status of a delivery, and ordinary frustration plus prior unanswered emails does not meet the severe-anger threshold.",,,,,Confirmed against the brief; no change.
hl-0146,test,I do not know what to do to sign up to the newsletter,marketing_preferences,low,false,,random control,true,This is a routine request for help subscribing to the newsletter.,,,,,Confirmed against the brief; no change.
hl-0147,dev,reimbusre £114.36,returns_and_refunds,normal,true,refund_over_threshold,"escalation (rare, high-leverage)",false,This is a refund request for a stated amount over £100.,,,,,Confirmed against the brief; no change.
hl-0151,test,I've been a customer for six years and spent a lot of money with you. After the way this return has been handled I won't be ordering again and I'll be closing my account. I'd like someone to tell me why the refund was reduced by £18 without warning.,returns_and_refunds,normal,true,severe_customer_anger,"escalation (rare, high-leverage)",false,"The primary ask is an explanation of the reduced refund, and the explicit statement that they will not order again meets the severe-customer-anger trigger.",,,,,Confirmed. 'I'll be closing my account' is the brief's explicit end-of-relationship trigger; the £18 is below threshold.
hl-0160,test,I do not know how to set up the secondary shipping address,delivery_and_shipping,low,false,,random control,true,"Setting a delivery address is a delivery-and-shipping request, and no one is blocked or time-sensitive.",,,,,Confirmed against the brief; no change.
hl-0166,dev,"I need to receive the newsletter, how do I do it?",marketing_preferences,low,false,,random control,true,"The customer is asking how to subscribe to the newsletter, which is a marketing preference.",,,,,Confirmed against the brief; no change.
hl-0172,test,Is the Marlow armchair actually in stock? The site said 3-5 days when I looked on Tuesday and now it says 6 weeks. I haven't ordered yet but I'd like to know before I do.,order_management,low,false,,random control,true,"This is a pre-purchase availability question about placing an order, with no time-sensitive consequence if it waits.",delivery_and_shipping,,,,"Customer states they have not ordered, so order_management does not apply; the substance is a lead time moving from 3-5 days to 6 weeks, which the brief puts under delivery timescales."
hl-0174,dev,I want to retrieve the password of my user account,account_access,normal,false,,random control,true,This is a routine password-access request with no indication of unauthorised account activity.,,low,,,"Identical to hl-0075 and hl-0124, both drafted low. A password reset is administrative and a password is not something owed or paid for, so normal does not apply."
hl-0182,test,"Do you know whether the Ashford range is manufactured in a factory that uses organic cotton certification, and could you send me the audit reports for your dye suppliers? I'm writing a piece on textile supply chains.",out_of_scope,low,true,out_of_scope,"escalation (rare, high-leverage)",false,This is a supply-chain research request outside the customer support team's remit.,,,,,Confirmed out_of_scope. A press request for supplier audit reports is outside the support team's remit.
hl-0186,test,updating standard account,account_management,low,false,,random control,true,"The ticket appears to request an update to a standard customer account, which is an administrative account-management task.",,,,,Confirmed against the brief; no change.
hl-0190,test,"Further to my previous correspondence of 2 September, I have instructed a solicitor regarding the damaged sideboard supplied under order 47338 and the subsequent refusal to collect it. Please direct all further communication to them; details below.",product_issue,normal,true,legal_or_chargeback_threat,random control,true,"The primary issue is the damaged sideboard, and the stated involvement of a solicitor requires escalation.",,,,,"Confirmed. Solicitor instructed. Left at normal urgency: no brief criterion for high is met, though see DECISIONS.md on legal correspondence."
hl-0200,dev,switching to platinum account,account_management,low,false,,drafter flagged uncertain,false,"This most naturally concerns switching account type, though it could be an out-of-scope request if “platinum account” refers to a service Hearth & Loom does not offer.",,,,,Confirmed against the brief; no change.
hl-0201,dev,"I paid £45.48 for this order, help me getting a compensation",returns_and_refunds,normal,false,,drafter flagged uncertain,true,"This is a compensation request below £100, but the absence of any stated problem leaves the primary underlying issue unclear.",,,,,Confirmed against the brief; no change.
hl-0211,test,I want to submit the shipping address,delivery_and_shipping,low,false,,drafter flagged uncertain,false,"This is read as a request to set or provide a delivery address, though it could alternatively mean submitting an address during order placement.",,,,,Confirmed against the brief; no change.
hl-0224,dev,need to switch to the fucking premium account help me,account_management,normal,true,severe_customer_anger,"escalation (rare, high-leverage)",false,"The customer is asking to switch account type, and the directed profanity warrants escalation.",,low,false,,"Brief says profanity about the situation is not severe_customer_anger, and that anger and urgency are independent axes. Six sibling tier-switch tickets are all drafted low and unescalated."
hl-0226,test,how do I add some items to order 52020?,order_management,low,false,,random control,true,"The customer is asking to change the contents of an existing order, with no stated dispatch deadline.",,,,,Confirmed against the brief; no change.
hl-0227,dev,"I made a mistake, I need to correct order 50064",order_management,normal,false,,drafter flagged uncertain,false,"This is an order-change request; urgency could be high if the correction must happen before dispatch, but no dispatch timing is stated.",,high,,,Correcting a wrong order before dispatch is the same closing window as a cancellation; miss it and the wrong goods ship.
hl-0231,dev,wanna know more about opening freemium accounts,account_management,low,true,out_of_scope,drafter disagreed with Bitext intent,false,Freemium accounts are not a Hearth & Loom support offering or request within the support team's remit.,,,false,,"Asking about opening an account is a support request. The draft escalated out_of_scope while assigning intent account_management, which cannot both be true."
hl-0236,dev,"Hi, three things really. The refund for the Ashford throw (order 51204) still hasn't landed and it's been two weeks. Also I've moved so can you update my address to 14 Bellweather Rise, Leeds LS8 2QR for anything still coming. And please stop the marketing emails, I get about four a week. Thanks, Marta",returns_and_refunds,normal,false,,drafter flagged uncertain,false,"The overdue agreed refund is treated as the primary consequential ask, though the request to update the address for undelivered items could reasonably be treated as the primary delivery issue.",delivery_and_shipping,high,,,"Of the three asks the address change is the only one with an irreversible outcome (parcels to an address they have left), so it is primary on the brief's consequence test, and address change before dispatch is a named high trigger."
hl-0237,dev,i dont know what to do tyo see the withdrawal fees,returns_and_refunds,low,true,out_of_scope,drafter disagreed with Bitext intent,false,"“Withdrawal fees” are outside Hearth & Loom’s stated support remit, though the typo makes the intended request somewhat unclear.",,,false,,"Withdrawal fees are cancellation fees, which the brief puts in returns_and_refunds; sibling hl-0013 ('early exit charges') was drafted identically and not escalated."
hl-0238,dev,"Absolutely useless shower of idiots. Two months, TWO MONTHS, and you still can't deliver one bloody bookcase. Whoever is running your logistics wants sacking. I've had enough of your pathetic excuses and your useless staff. Sort it out or I'm done.",delivery_and_shipping,normal,true,severe_customer_anger,"escalation (rare, high-leverage)",false,"The primary issue is an undelivered bookcase, and the sustained staff-directed abuse plus statement that they are done with the company requires escalation.",,,,,Confirmed. Abuse aimed at staff plus 'I'm done' clears the severe_customer_anger bar; the operational ask underneath is the undelivered bookcase.
hl-0239,dev,I want help asking for an reimbursement,returns_and_refunds,normal,false,,random control,true,"This is a routine reimbursement request with no stated amount, cause, or time pressure.",,,,,"Considered low (a how-to with nothing stated as owed) but left as drafted: consistent with hl-0096 and hl-0201, both refund requests drafted normal."
hl-0240,test,I have to change to the standard account,account_management,low,false,,random control,true,"This appears to request switching account type, though “standard account” is ambiguous and could refer to a payment or subscription arrangement outside the stated account flows.",,,,,Confirmed against the brief; no change.
